date,data
2019-12-03,1
2019-12-14,2
2019-12-14,3
2019-12-16,4
2019-12-17,5
2019-12-20,6
2019-12-22,7
2020-01-01,8
2020-02-02,9
2020-02-04,10
2020-02-28,11
2020-03-08,12
2020-03-27,13
2020-04-03,14
2020-04-05,15
2020-04-26,16
2020-04-27,17
2020-05-17,18
2020-05-17,19
2020-05-31,20
2020-06-11,21
2020-07-07,22
2020-07-16,23
2020-07-29,24
2020-08-03,25
2020-08-04,26
2020-08-09,27
2020-08-23,28
2020-08-30,29
2020-09-06,30
2020-09-08,31
2020-09-11,32
2020-09-18,33
2020-09-25,34
2020-10-05,35
2020-10-24,36
2020-11-04,37
2020-11-05,38
2020-11-07,39
2020-11-09,40
2020-11-13,41
2020-11-15,42
2020-11-21,43
2020-11-29,44
2020-11-29,45
2020-12-01,46
2020-12-06,47
2020-12-10,48
2020-12-11,49
2020-12-11,50
2020-12-12,51
2020-12-13,52
